
***SUMMARY***SUMMARY***SUMMARY***SUMMARY***SUMMARY***

Simulation:         Evacuation
Version:            2022.3.1207
Mode:               Steering
Total Occupants:    290


Completion Times for All Occupants (s):
  Min:                2.2 "00076"
  Max:              137.1 "00269"
  Average:           71.7
  StdDev:            36.5

Completion Times by Behavior (s):
       Behavior	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
  Goto Any Exit	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5
*all behaviors*	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5

Completion Times by Profile (s):
       Profile	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
       Default	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5
*all profiles*	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5

Travel Distances for All Occupants (m):
  Min:                1.9 "00076"
  Max:              119.9 "00269"
  Average:           64.5
  StdDev:            28.9

Movement Distance by Behavior (m):
       Behavior	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
  Goto Any Exit	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9
*all behaviors*	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9

Movement Distance by Profile (m):
       Profile	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
       Default	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9
*all profiles*	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9

[Components] All:   723
[Components] Doors: 257
Triangles:          17137
Startup Time:       0.1s
CPU Time:           8.5s

Door Flow Rates:
                 Door	First_In	Last_Out	Last_Out_Name	Total_Use	 Flow_Avg
         Piętro 0->Room275	     0.0	     0.0	             	        0
         Piętro 0->Room283	    11.6	   111.8	        00232	       93
       Piętro 0->Room295_1	    11.7	   102.7	        00277	       86
          Piętro 0->Room32	     0.0	     0.0	             	        0
          Piętro 0->Room38	     0.0	     4.0	        00062	        2
          Piętro 0->Room41	     0.0	     0.0	             	        0
          Piętro 0->Room44	     0.0	    35.7	        00043	        7
          Piętro 0->Room46	     0.0	     0.0	             	        0
          Piętro 0->Room49	     0.0	     0.0	             	        0
          Piętro 0->Room53	     0.0	    39.1	        00118	        4
          Piętro 0->Room61	     0.0	     0.0	             	        0
          Piętro 0->Room74	    13.9	   111.8	        00277	       91
          Piętro 0->Room81	     0.0	     0.0	             	        0
         Piętro 0->Stair07	    12.7	   106.5	        00277	       86
         Piętro 0->Stair08	    10.3	   100.4	        00277	       86
         Piętro 0->Stair09	     6.0	    95.5	        00277	       86
  Piętro 0->Szatnia_parter	     0.0	     6.9	        00073	        1
       Piętro 0->Room296_1	     9.1	    98.5	        00277	       86
         Piętro 0->Stair12	     8.6	   106.5	        00232	       93
      Floor 0.0 m->Room902	     7.6	   102.0	        00232	       93
      Floor 0.0 m->Room903	     5.1	    97.6	        00232	       93
      Floor 0.0 m->Stair13	     6.2	    99.9	        00232	       93
      Floor 0.0 m->Stair14	     2.0	    94.7	        00232	       93
       Piętro 1->Room106_1	     0.0	    19.6	        00122	        7
     Piętro 1->Room115_1_1	     0.0	     0.0	             	        0
       Piętro 1->Room124_1	     0.0	     0.0	             	        0
       Piętro 1->Room126_1	     0.0	     0.0	             	        0
       Piętro 1->Room127_1	     0.0	     0.0	             	        0
       Piętro 1->Room128_1	     0.0	     0.0	             	        0
       Piętro 1->Room153_1	     0.0	     6.9	        00157	        8
       Piętro 1->Room156_1	     0.0	     0.0	             	        0
       Piętro 1->Room162_1	     0.0	     0.0	             	        0
       Piętro 1->Room163_1	     0.0	     0.0	             	        0
       Piętro 1->Room165_1	     0.0	     0.0	             	        0
       Piętro 1->Room166_1	     0.0	     0.0	             	        0
       Piętro 1->Room167_1	     0.0	     0.0	             	        0
       Piętro 1->Room168_1	     0.0	     0.0	             	        0
       Piętro 1->Room169_1	     0.0	     0.0	             	        0
       Piętro 1->Room170_1	     0.0	     0.0	             	        0
       Piętro 1->Room178_1	     0.0	     0.0	             	        0
       Piętro 1->Room179_1	     0.0	     0.0	             	        0
       Piętro 1->Room180_1	     0.0	     0.0	             	        0
       Piętro 1->Room181_1	     0.0	     0.0	             	        0
       Piętro 1->Room182_1	     0.0	     0.0	             	        0
       Piętro 1->Room184_1	     0.0	     0.0	             	        0
       Piętro 1->Room186_1	     0.0	     5.6	        00164	        5
       Piętro 1->Room200_1	     0.0	     0.0	             	        0
       Piętro 1->Room240_1	     0.0	     0.0	             	        0
       Piętro 1->Room241_1	     0.0	     0.0	             	        0
       Piętro 1->Room242_1	     0.0	     0.0	             	        0
       Piętro 1->Room243_1	     0.0	     0.0	             	        0
       Piętro 1->Room244_1	     0.0	     0.0	             	        0
       Piętro 1->Room245_1	     0.0	     0.0	             	        0
       Piętro 1->Room246_1	     0.0	     0.0	             	        0
       Piętro 1->Room247_1	     0.0	     0.0	             	        0
       Piętro 1->Room248_1	     0.0	     0.0	             	        0
       Piętro 1->Room249_1	     0.0	     0.0	             	        0
       Piętro 1->Room250_1	     0.0	     0.0	             	        0
       Piętro 1->Room251_1	     0.0	     0.0	             	        0
       Piętro 1->Room252_1	     0.0	     0.0	             	        0
       Piętro 1->Room253_1	     0.0	     0.0	             	        0
       Piętro 1->Room254_1	     0.0	     0.0	             	        0
       Piętro 1->Room255_1	     0.0	     0.0	             	        0
       Piętro 1->Room256_1	     0.0	     0.0	             	        0
       Piętro 1->Room257_1	     0.0	     0.0	             	        0
       Piętro 1->Room258_1	     0.0	     0.0	             	        0
       Piętro 1->Room259_1	     0.0	     0.0	             	        0
       Piętro 1->Room260_1	     0.0	     0.0	             	        0
       Piętro 1->Room261_1	     0.0	     0.0	             	        0
       Piętro 1->Room262_1	     0.0	     0.0	             	        0
       Piętro 1->Room263_1	     0.0	     0.0	             	        0
       Piętro 1->Room264_1	     0.0	     0.0	             	        0
       Piętro 1->Room265_1	     0.0	     0.0	             	        0
       Piętro 1->Room266_1	     0.0	     0.0	             	        0
       Piętro 1->Room267_1	     0.0	     0.0	             	        0
       Piętro 1->Room274_1	     0.0	     0.0	             	        0
       Piętro 1->Room275_1	     0.0	     0.0	             	        0
       Piętro 1->Room283_1	     0.0	    89.3	        00232	       93
         Piętro 1->Room815	     0.0	     0.0	             	        0
         Piętro 1->Room817	     0.0	     0.0	             	        0
         Piętro 1->Room818	     0.0	     0.0	             	        0
         Piętro 1->Room819	     0.0	     3.1	        00124	        2
         Piętro 1->Room820	     0.0	    33.2	        00122	       25
         Piętro 1->Room823	     0.0	     0.0	             	        0
         Piętro 1->Room824	     0.0	     0.0	             	        0
         Piętro 1->Room825	     0.0	     1.8	        00120	        1
         Piętro 1->Room826	     0.0	     0.0	             	        0
         Piętro 1->Room828	     0.0	     0.0	             	        0
         Piętro 1->Room829	     0.0	     0.0	             	        0
         Piętro 1->Room831	     0.0	     0.0	             	        0
         Piętro 1->Room834	     0.0	     0.0	             	        0
         Piętro 1->Room835	     0.0	     0.0	             	        0
         Piętro 1->Room837	     3.3	    91.8	        00277	       86
         Piętro 1->Room841	     0.0	     6.8	        00149	        3
         Piętro 1->Room851	     0.0	     0.0	             	        0
         Piętro 1->Room852	     0.0	     0.0	             	        0
         Piętro 1->Room853	     0.0	     0.0	             	        0
         Piętro 1->Room854	     0.0	     0.0	             	        0
         Piętro 1->Room855	     0.0	     0.0	             	        0
         Piętro 1->Room856	     0.0	     0.0	             	        0
         Piętro 1->Room857	     0.0	     0.0	             	        0
         Piętro 1->Room858	     0.0	     0.0	             	        0
         Piętro 1->Room859	     0.0	     0.0	             	        0
         Piętro 1->Room860	     0.0	     0.0	             	        0
         Piętro 1->Room861	     0.0	     0.0	             	        0
         Piętro 1->Room862	     0.0	     0.0	             	        0
         Piętro 1->Room863	     0.0	     0.0	             	        0
         Piętro 1->Room870	     0.0	     2.0	        00170	        1
         Piętro 1->Room874	     0.0	    36.7	        00166	       33
         Piętro 1->Room875	     0.9	    20.3	        00127	       10
         Piętro 1->Room877	     0.0	     0.0	             	        0
         Piętro 1->Room879	     0.0	     4.4	        00166	        2
         Piętro 1->Room880	     0.0	     2.2	        00135	        2
         Piętro 1->Room881	     0.0	     6.2	        00139	        1
         Piętro 1->Room885	     0.0	     3.0	        00164	        1
         Piętro 1->Room886	     0.0	     0.0	             	        0
         Piętro 1->Room887	     0.0	     4.3	        00159	        1
         Piętro 1->Room888	     0.0	     0.8	        00161	        1
         Piętro 1->Room889	     0.0	     1.9	        00173	        1
         Piętro 1->Room890	     0.0	     0.0	             	        0
         Piętro 1->Room891	     0.0	     0.0	             	        0
         Piętro 1->Room892	     0.0	     0.0	             	        0
         Piętro 1->Room893	     0.0	     1.4	        00126	        1
         Piętro 1->Room894	     0.0	     0.0	             	        0
         Piętro 1->Room895	     0.0	     3.9	        00129	        1
         Piętro 1->Room896	     0.0	     0.0	             	        0
       Piętro 1->Room896_1	     0.0	     1.8	        00123	        1
       Piętro 1->Room896_1	     0.0	     0.0	             	        0
     Piętro 1->Room896_1_1	     0.0	     1.6	        00127	        1
     Piętro 1->Room896_1_1	     0.0	     0.0	             	        0
   Piętro 1->Room896_1_1_1	     0.0	     0.0	             	        0
         Piętro 1->Room897	     0.0	     0.0	             	        0
         Piętro 1->Room898	     0.0	     0.0	             	        0
         Piętro 1->Room899	     6.7	     8.5	        00145	        1
         Piętro 1->Room900	     3.2	     6.7	        00145	        1
         Piętro 1->Room901	     0.0	     3.2	        00145	        1
       Piętro 1->Stair08_1	    10.1	    76.5	        00277	       61
     Piętro 1->Room295_1_1	    11.5	    79.4	        00277	       61
         Piętro 1->Stair11	    12.4	    84.0	        00277	       61
       Piętro 1->Stair13_1	     7.3	    73.2	        00226	       58
       Piętro 1->Room902_1	     8.7	    75.5	        00232	       58
         Piętro 1->Stair15	     9.6	    80.6	        00232	       58
       Piętro 2->Stair09_1	     5.7	    71.7	        00241	       61
     Piętro 2->Room296_1_1	     8.9	    74.2	        00277	       61
     Piętro 2->Room106_1_1	     0.0	    17.6	        00209	        9
   Piętro 2->Room115_1_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room124_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room126_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room127_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room128_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room153_1_1	     0.0	     4.8	        00223	        2
     Piętro 2->Room156_1_1	     0.0	     1.0	        00202	        1
     Piętro 2->Room162_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room163_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room165_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room166_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room167_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room168_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room169_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room170_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room178_1_1	     0.0	     1.3	        00215	        1
     Piętro 2->Room179_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room180_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room181_1_1	     3.5	     5.4	        00216	        1
     Piętro 2->Room182_1_1	     0.0	     3.5	        00216	        1
     Piętro 2->Room184_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room186_1_1	     0.0	     4.3	        00210	        1
     Piętro 2->Room200_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room240_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room241_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room242_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room243_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room244_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room245_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room246_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room247_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room248_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room249_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room250_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room251_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room252_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room253_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room254_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room255_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room256_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room257_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room258_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room259_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room260_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room261_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room262_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room263_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room264_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room265_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room266_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room267_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room274_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room275_1_1	     0.0	     0.0	             	        0
     Piętro 2->Room283_1_1	     0.0	    63.3	        00226	       58
       Piętro 2->Room815_1	     0.0	     0.0	             	        0
       Piętro 2->Room817_1	     0.0	     0.0	             	        0
       Piętro 2->Room818_1	     0.0	     3.0	        00198	        3
       Piętro 2->Room819_1	     0.0	     8.8	        00198	        3
       Piętro 2->Room820_1	     0.0	    32.4	        00209	       26
       Piętro 2->Room823_1	     0.0	     0.0	             	        0
       Piętro 2->Room824_1	     0.0	     0.0	             	        0
       Piętro 2->Room825_1	     0.0	     0.0	             	        0
       Piętro 2->Room826_1	     0.0	     0.0	             	        0
       Piętro 2->Room828_1	     0.0	     0.0	             	        0
       Piętro 2->Room829_1	     0.0	     0.0	             	        0
       Piętro 2->Room831_1	     0.0	     0.0	             	        0
       Piętro 2->Room834_1	     0.0	     0.0	             	        0
       Piętro 2->Room835_1	     0.0	     0.0	             	        0
       Piętro 2->Room837_1	     3.2	    66.5	        00241	       61
       Piętro 2->Room841_1	     0.0	    11.9	        00186	        3
       Piętro 2->Room851_1	     0.0	     0.0	             	        0
       Piętro 2->Room852_1	     0.0	     0.0	             	        0
       Piętro 2->Room853_1	     0.0	     0.0	             	        0
       Piętro 2->Room854_1	     0.0	     0.0	             	        0
       Piętro 2->Room855_1	     0.0	     0.0	             	        0
       Piętro 2->Room856_1	     0.0	     0.0	             	        0
       Piętro 2->Room857_1	     0.0	     0.0	             	        0
       Piętro 2->Room858_1	     0.0	     0.0	             	        0
       Piętro 2->Room859_1	     0.0	     0.0	             	        0
       Piętro 2->Room860_1	     0.0	     0.0	             	        0
       Piętro 2->Room861_1	     0.0	     0.0	             	        0
       Piętro 2->Room862_1	     0.0	     0.0	             	        0
       Piętro 2->Room863_1	     0.0	     0.0	             	        0
       Piętro 2->Room870_1	     0.0	     1.3	        00220	        1
       Piętro 2->Room874_1	     0.0	    33.5	        00183	       22
       Piętro 2->Room875_1	     0.0	    20.7	        00191	        9
       Piętro 2->Room877_1	     0.0	     0.0	             	        0
       Piętro 2->Room879_1	     0.0	     0.0	             	        0
       Piętro 2->Room880_1	     0.0	     0.0	             	        0
       Piętro 2->Room881_1	     0.0	    12.3	        00191	        2
       Piętro 2->Room885_1	     0.0	     0.0	             	        0
       Piętro 2->Room886_1	     0.0	     0.0	             	        0
       Piętro 2->Room887_1	     0.0	     0.0	             	        0
       Piętro 2->Room888_1	     0.0	     0.0	             	        0
       Piętro 2->Room889_1	     0.0	     3.2	        00190	        2
       Piętro 2->Room890_1	     0.0	     0.0	             	        0
       Piętro 2->Room891_1	     0.0	     0.0	             	        0
       Piętro 2->Room892_1	     0.0	     4.0	        00194	        1
       Piętro 2->Room893_1	     0.0	     0.0	             	        0
       Piętro 2->Room894_1	     0.0	     0.0	             	        0
       Piętro 2->Room895_1	     0.0	     0.0	             	        0
       Piętro 2->Room896_1	     0.0	     0.0	             	        0
     Piętro 2->Room896_1_1	     0.0	     1.0	        00183	        1
     Piętro 2->Room896_1_1	     0.0	     0.0	             	        0
   Piętro 2->Room896_1_1_1	     0.0	     0.0	             	        0
   Piętro 2->Room896_1_1_1	     0.0	     0.0	             	        0
 Piętro 2->Room896_1_1_1_1	     0.0	     0.0	             	        0
       Piętro 2->Room897_1	     0.0	     0.0	             	        0
       Piętro 2->Room898_1	     0.0	     0.0	             	        0
       Piętro 2->Room899_1	     1.1	    10.1	        00175	        3
       Piętro 2->Room900_1	     0.0	     8.2	        00175	        3
       Piętro 2->Room901_1	     0.0	     5.5	        00175	        2
         Piętro 2->Stair10	    12.1	    58.2	        00241	       35
       Piętro 2->Stair14_1	     3.2	    68.3	        00226	       58
       Piętro 2->Room903_1	     6.3	    70.9	        00226	       58
         Piętro 2->Stair16	     8.9	    56.2	        00226	       35
    Floor 9.0 m->Stair09_2	     5.4	    47.4	        00241	       35
  Floor 9.0 m->Room296_1_2	     8.6	    50.5	        00241	       35
  Floor 9.0 m->Stair08_1_1	     9.7	    52.3	        00241	       35
Floor 9.0 m->Room295_1_1_1	    11.2	    53.9	        00241	       35
    Floor 9.0 m->Stair13_2	     6.6	    49.9	        00226	       35
    Floor 9.0 m->Stair14_2	     2.5	    45.9	        00226	       35
    Floor 9.0 m->Room902_2	     8.0	    52.5	        00226	       35
    Floor 9.0 m->Room903_2	     5.6	    47.8	        00226	       35
     Piętro 3->Room106_1_2	     0.0	    22.2	        00241	       10
   Piętro 3->Room115_1_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room124_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room126_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room127_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room128_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room153_1_2	     0.0	     4.7	        00262	        5
     Piętro 3->Room156_1_2	     0.0	     2.5	        00278	        1
     Piętro 3->Room162_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room163_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room165_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room166_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room167_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room168_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room169_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room170_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room178_1_2	     0.0	     1.3	        00231	        1
     Piętro 3->Room179_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room180_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room181_1_2	     1.4	     3.3	        00292	        1
     Piętro 3->Room182_1_2	     0.0	     1.4	        00292	        1
     Piętro 3->Room184_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room186_1_2	     0.0	     6.0	        00225	        3
     Piętro 3->Room200_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room240_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room241_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room242_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room243_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room244_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room245_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room246_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room247_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room248_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room249_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room250_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room251_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room252_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room253_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room254_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room255_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room256_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room257_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room258_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room259_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room260_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room261_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room262_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room263_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room264_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room265_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room266_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room267_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room274_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room275_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room283_1_2	     0.0	    42.2	        00226	       35
       Piętro 3->Room815_2	     0.0	     0.0	             	        0
       Piętro 3->Room817_2	     0.0	     0.0	             	        0
       Piętro 3->Room818_2	     0.0	     0.0	             	        0
       Piętro 3->Room819_2	     0.0	     0.0	             	        0
       Piętro 3->Room820_2	     0.0	    37.7	        00241	       35
       Piętro 3->Room823_2	     0.0	     0.0	             	        0
       Piętro 3->Room824_2	     0.0	     0.0	             	        0
       Piętro 3->Room825_2	     0.0	     0.0	             	        0
       Piętro 3->Room826_2	     0.0	     0.0	             	        0
       Piętro 3->Room828_2	     0.0	     0.0	             	        0
       Piętro 3->Room829_2	     0.0	     0.0	             	        0
       Piętro 3->Room831_2	     0.0	     0.0	             	        0
       Piętro 3->Room834_2	     0.0	     0.0	             	        0
       Piętro 3->Room835_2	     0.0	     0.0	             	        0
       Piętro 3->Room837_2	     2.9	    42.3	        00256	       35
       Piętro 3->Room841_2	     0.0	    14.0	        00277	        9
       Piętro 3->Room851_2	     0.0	     0.0	             	        0
       Piętro 3->Room852_2	     0.0	     0.0	             	        0
       Piętro 3->Room853_2	     0.0	     0.0	             	        0
       Piętro 3->Room854_2	     0.0	     0.0	             	        0
       Piętro 3->Room855_2	     0.0	     0.0	             	        0
       Piętro 3->Room856_2	     0.0	     0.0	             	        0
       Piętro 3->Room857_2	     0.0	     0.0	             	        0
       Piętro 3->Room858_2	     0.0	     0.0	             	        0
       Piętro 3->Room859_2	     0.0	     0.0	             	        0
       Piętro 3->Room860_2	     0.0	     0.0	             	        0
       Piętro 3->Room861_2	     0.0	     0.0	             	        0
       Piętro 3->Room862_2	     0.0	     0.0	             	        0
       Piętro 3->Room863_2	     0.0	     0.0	             	        0
       Piętro 3->Room870_2	     0.0	     0.0	             	        0
       Piętro 3->Room874_2	     0.0	    37.9	        00230	       34
       Piętro 3->Room875_2	     0.0	    21.5	        00230	       15
       Piętro 3->Room877_2	     0.0	     0.0	             	        0
       Piętro 3->Room879_2	     0.0	     6.0	        00230	        2
       Piętro 3->Room880_2	     0.0	     0.0	             	        0
       Piętro 3->Room881_2	     0.0	     4.8	        00263	        1
       Piętro 3->Room885_2	     0.0	     0.0	             	        0
       Piętro 3->Room886_2	     0.0	     0.0	             	        0
       Piętro 3->Room887_2	     0.0	     0.0	             	        0
       Piętro 3->Room888_2	     0.0	     0.0	             	        0
       Piętro 3->Room889_2	     0.0	     0.0	             	        0
       Piętro 3->Room890_2	     0.0	     0.0	             	        0
       Piętro 3->Room891_2	     0.0	     0.0	             	        0
       Piętro 3->Room892_2	     0.0	     0.0	             	        0
       Piętro 3->Room893_2	     0.0	     2.7	        00285	        1
       Piętro 3->Room894_2	     0.0	     1.8	        00232	        1
       Piętro 3->Room895_2	     0.0	     0.0	             	        0
       Piętro 3->Room896_2	     0.0	     0.0	             	        0
     Piętro 3->Room896_1_2	     0.0	     0.0	             	        0
     Piętro 3->Room896_1_2	     0.0	     0.0	             	        0
   Piętro 3->Room896_1_1_2	     0.0	     1.7	        00269	        1
   Piętro 3->Room896_1_1_2	     0.0	     0.0	             	        0
 Piętro 3->Room896_1_1_1_2	     0.0	     0.0	             	        0
       Piętro 3->Room897_2	     0.0	     1.8	        00244	        1
       Piętro 3->Room898_2	     0.0	     0.0	             	        0
       Piętro 3->Room899_2	     0.0	     5.9	        00255	        2
       Piętro 3->Room900_2	     0.0	     5.2	        00286	        2
       Piętro 3->Room901_2	     0.0	     3.5	        00286	        1

