
***SUMMARY***SUMMARY***SUMMARY***SUMMARY***SUMMARY***

Simulation:         Evacuation
Version:            2022.3.1207
Mode:               Steering
Total Occupants:    290


Completion Times for All Occupants (s):
  Min:                2.2 "00076"
  Max:              137.1 "00269"
  Average:           71.7
  StdDev:            36.5

Completion Times by Behavior (s):
       Behavior	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
  Goto Any Exit	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5
*all behaviors*	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5

Completion Times by Profile (s):
       Profile	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
       Default	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5
*all profiles*	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5

Travel Distances for All Occupants (m):
  Min:                1.9 "00076"
  Max:              119.9 "00269"
  Average:           64.5
  StdDev:            28.9

Movement Distance by Behavior (m):
       Behavior	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
  Goto Any Exit	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9
*all behaviors*	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9

Movement Distance by Profile (m):
       Profile	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
       Default	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9
*all profiles*	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9

[Components] All:   723
[Components] Doors: 257
Triangles:          17137
Startup Time:       0.1s
CPU Time:           8.5s

Door Flow Rates:
                 Door	First_In	Last_Out	Last_Out_Name	Total_Use	 Flow_Avg
    Piętro 1->Door131	     1.6	    19.6	        00122	        7	     0.39
    Piętro 1->Door133	     2.0	     2.0	        00170	        1	         
    Piętro 1->Door134	     0.0	     0.0	             	        0	         
    Piętro 1->Door136	     0.0	     0.0	             	        0	         
    Piętro 1->Door137	     0.0	     0.0	             	        0	         
    Piętro 1->Door138	     0.0	     0.0	             	        0	         
    Piętro 1->Door139	     0.0	     0.0	             	        0	         
    Piętro 1->Door140	     0.0	     0.0	             	        0	         
    Piętro 1->Door141	    11.1	    19.8	        00166	        5	     0.57
    Piętro 1->Door142	    12.3	    20.3	        00127	        5	     0.63
   Piętro 1->Door91_1	     0.0	     0.0	             	        0	         
   Piętro 1->Door97_1	     0.8	     5.6	        00164	        5	     1.04
    Piętro 1->Door143	     2.3	     4.4	        00166	        2	     0.92
    Piętro 1->Door144	     0.9	     2.2	        00135	        2	     1.57
    Piętro 1->Door145	     3.0	     3.0	        00164	        1	         
    Piętro 1->Door146	     0.0	     0.0	             	        0	         
    Piętro 1->Door147	     0.0	     0.0	             	        0	         
    Piętro 1->Door148	     4.3	     4.3	        00159	        1	         
    Piętro 1->Door149	     0.8	     0.8	        00161	        1	         
    Piętro 1->Door150	     1.9	     1.9	        00173	        1	         
    Piętro 1->Door151	     0.0	     0.0	             	        0	         
    Piętro 1->Door152	     0.0	     0.0	             	        0	         
    Piętro 1->Door153	     0.0	     0.0	             	        0	         
    Piętro 1->Door154	     1.4	     1.4	        00126	        1	         
    Piętro 1->Door155	     0.0	     0.0	             	        0	         
    Piętro 1->Door156	     0.0	     0.0	             	        0	         
    Piętro 1->Door157	     6.2	     6.2	        00139	        1	         
    Piętro 1->Door158	     3.9	     3.9	        00129	        1	         
    Piętro 1->Door159	     0.0	     0.0	             	        0	         
    Piętro 1->Door160	     1.8	     1.8	        00123	        1	         
    Piętro 1->Door162	     0.0	     0.0	             	        0	         
    Piętro 1->Door163	     1.6	     1.6	        00127	        1	         
    Piętro 1->Door164	     0.0	     0.0	             	        0	         
    Piętro 1->Door165	     0.0	     0.0	             	        0	         
    Piętro 1->Door166	     0.0	     0.0	             	        0	         
    Piętro 1->Door167	     0.0	     0.0	             	        0	         
    Piętro 1->Door168	     8.5	     8.5	        00145	        1	         
    Piętro 1->Door169	     6.7	     6.7	        00145	        1	         
    Piętro 1->Door170	     0.0	     0.0	             	        0	         
    Piętro 1->Door171	     3.2	     3.2	        00145	        1	         
    Piętro 1->Door172	     3.1	     4.7	        00134	        2	     1.23
    Piętro 1->Door173	     2.8	     6.9	        00157	        6	     1.47
     Stair08_1 door 1	    11.5	    76.5	        00277	       61	     0.94
     Stair08_1 door 2	    10.1	    74.2	        00277	       61	     0.95
       Stair11 door 1	    12.4	    79.4	        00277	       61	     0.91
       Stair11 door 2	    15.5	    84.0	        00277	       61	     0.89
     Stair13_1 door 1	     8.7	    73.2	        00226	       58	     0.90
     Stair13_1 door 2	     7.3	    70.9	        00226	       58	     0.91
       Stair15 door 1	    12.7	    80.6	        00232	       58	     0.85
       Stair15 door 2	     9.6	    75.5	        00232	       58	     0.88
     Stair09_1 door 1	     8.9	    71.7	        00241	       61	     0.97
     Stair09_1 door 2	     5.7	    66.5	        00241	       61	     1.00
Piętro 2->Door108_1_1	     6.3	    33.5	        00183	       22	     0.81
  Piętro 2->Door109_1	     1.1	     3.0	        00198	        2	     1.08
  Piętro 2->Door110_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door113_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door114_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door116_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door117_1	     5.6	     8.8	        00198	        3	     0.94
  Piętro 2->Door118_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door119_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door121_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door123_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door124_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door125_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door127_1	     3.2	    32.4	        00209	       26	     0.89
  Piętro 2->Door128_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door129_1	     1.4	    11.9	        00186	        3	     0.29
  Piętro 2->Door130_1	     2.0	     2.0	        00186	        1	         
  Piętro 2->Door131_1	     1.2	    17.6	        00209	        9	     0.55
